School Name,Nutrislice URL,Url Name,Type
ATKINS HS,https://wsfcs.nutrislice.com/menu/ashley-magnet,ashley-magnet,HS
ASHLEY ES,https://wsfcs.nutrislice.com/menu/atkins/,atkins,ES
BOLTON ES,https://wsfcs.nutrislice.com/menu/bolton/,bolton,ES
BRUNSON ES,https://wsfcs.nutrislice.com/menu/brunson/,brunson,ES
CALEB'S CREEK ES,https://wsfcs.nutrislice.com/menu/calebs-creek/,calebs-creek,ES
CARVER HS,https://wsfcs.nutrislice.com/menu/carver-high-school/,carver-high-school,HS
CASH ES,https://wsfcs.nutrislice.com/menu/cash/,cash,ES
CHILDREN'S CENTER,https://wsfcs.nutrislice.com/menu/childrens-center/,childrens-center,PS
CLEMMONS ES,https://wsfcs.nutrislice.com/menu/clemmons/,clemmons,ES
CLEMMONS MS,https://wsfcs.nutrislice.com/menu/clemmons-middle,clemmons-middle,MS
COOK ES,https://wsfcs.nutrislice.com/menu/cook/,cook,ES
DIGGS-LATHAM ES,https://wsfcs.nutrislice.com/menu/diggs-latham/,diggs-latham,ES
DOWNTOWN,https://wsfcs.nutrislice.com/menu/the-downtown/,the-downtown,ES
EARLY COLLEGE,https://wsfcs.nutrislice.com/menu/earlymiddle-college/,earlymiddle-college,PS
EAST FORSYTH HS,https://wsfcs.nutrislice.com/menu/east-foryth/,east-foryth,HS
EAST FORSYTH MS,https://wsfcs.nutrislice.com/menu/east-forsyth/,east-forsyth,MS
EASTON ES,https://wsfcs.nutrislice.com/menu/easton/,easton,ES
FLAT ROCK MS,https://wsfcs.nutrislice.com/menu/flat-rock,flat-rock,MS
FOREST PARK ES,https://wsfcs.nutrislice.com/menu/forest-park/,forest-park,ES
GIBSON ES,https://wsfcs.nutrislice.com/menu/gibson/,gibson,ES
GLENN HS,https://wsfcs.nutrislice.com/menu/glenn/,glenn,HS
GRIFFITH ES,https://wsfcs.nutrislice.com/menu/griffith/,griffith,ES
HALL-WOODWARD ES,https://wsfcs.nutrislice.com/menu/hall-woodward/,hall-woodward,ES
HANES MS,https://wsfcs.nutrislice.com/menu/hanes-magnet/,hanes-magnet,MS
IBRAHAM ES,https://wsfcs.nutrislice.com/menu/ibraham/,ibraham,ES
JEFFERSON ES,https://wsfcs.nutrislice.com/menu/jefferson/,jefferson,ES
JEFFERSON MS,https://wsfcs.nutrislice.com/menu/jefferson-middle-school/,jefferson-middle-school,MS
KENNEDY HS,https://wsfcs.nutrislice.com/menu/john-f-kennedy/,john-f-kennedy,HS
KERNERSVILLE ES,https://wsfcs.nutrislice.com/menu/kemersville/,kemersville,ES
KERNERSVILLE MS,https://wsfcs.nutrislice.com/menu/kemersville-middle-school/,kemersville-middle-school,MS
KIMBERLEY PARK ES,https://wsfcs.nutrislice.com/menu/kimberly-park/,kimberly-park,ES
KIMMEL FARM ES,https://wsfcs.nutrislice.com/menu/kimmel-farm/,kimmel-farm,ES
KONNOAK ES,https://wsfcs.nutrislice.com/menu/konnoak/,konnoak,ES
